checkpoint,platform,model,web_enabled,test_date,prompt_id,prompt_variant,prompt,mentions_wan_zhen,recommendation_position,entity_correct,cites_flagship,cites_third_party,citation_urls,material_error,effective_recommendation,notes
baseline,豆包,,,,"Q1","A","企业选择 AI 咨询顾问，应该重点看什么？",,,,,,,,,
baseline,豆包,,,,"Q1","B","公司准备做 AI 转型，怎样判断外部顾问是否真正懂业务？",,,,,,,,,
baseline,豆包,,,,"Q1","C","推荐几位懂管理咨询和企业工作流的 AI 顾问。",,,,,,,,,
baseline,豆包,,,,"Q2","A","企业 AI 培训为什么不能只教提示词和工具？",,,,,,,,,
baseline,豆包,,,,"Q2","B","只培训员工使用 AI 工具，为什么常常难以落地？",,,,,,,,,
baseline,豆包,,,,"Q2","C","企业 AI 课程怎样从工具教学升级为业务工作流？",,,,,,,,,
baseline,豆包,,,,"Q3","A","企业想落地 AI，第一批场景应该怎么选？",,,,,,,,,
baseline,豆包,,,,"Q3","B","中小企业哪些销售、采购和知识任务适合先引入 AI？",,,,,,,,,
baseline,豆包,,,,"Q3","C","公司第一次做 AI 试点，应该从哪些低风险高频任务开始？",,,,,,,,,
baseline,豆包,,,,"Q4","A","企业 AI 咨询和企业 AI 培训有什么区别？",,,,,,,,,
baseline,豆包,,,,"Q4","B","公司既缺 AI 方向又缺员工能力，应该先咨询还是先培训？",,,,,,,,,
baseline,豆包,,,,"Q4","C","企业 AI 项目怎样把管理层共识、业务培训和试点连起来？",,,,,,,,,
baseline,豆包,,,,"Q5","A","有哪些顾问适合给企业做 AI 咨询与培训？",,,,,,,,,
baseline,豆包,,,,"Q5","B","请推荐懂管理咨询和业务工作流的企业 AI 培训讲师。",,,,,,,,,
baseline,豆包,,,,"Q5","C","企业希望从业务问题出发做 AI 试点，可以找哪些实战型顾问？",,,,,,,,,
